Date,4 WEEKS COUPON EQUIVALENT,8 WEEKS COUPON EQUIVALENT,13 WEEKS COUPON EQUIVALENT,17 WEEKS COUPON EQUIVALENT,26 WEEKS COUPON EQUIVALENT,52 WEEKS COUPON EQUIVALENT
2024-05-23,5.37,5.4,5.4,5.42,5.39,5.2
2024-05-24,5.42,5.44,5.4,5.42,5.39,5.21
2024-05-28,5.36,5.4,5.4,5.42,5.39,5.22
2024-05-29,5.36,5.4,5.4,5.41,5.38,5.23
2024-05-30,5.38,5.4,5.4,5.41,5.38,5.21
2024-05-31,5.37,5.39,5.39,5.4,5.38,5.19
2024-06-03,5.38,5.4,5.4,5.4,5.37,5.15
2024-06-04,5.37,5.39,5.39,5.38,5.36,5.13
2024-06-05,5.37,5.4,5.39,5.39,5.35,5.11
2024-06-06,5.37,5.39,5.39,5.39,5.35,5.09
2024-06-07,5.37,5.39,5.4,5.41,5.38,5.19
2024-06-10,5.37,5.39,5.39,5.41,5.38,5.18
2024-06-11,5.35,5.38,5.39,5.4,5.37,5.16
2024-06-12,5.35,5.38,5.39,5.41,5.36,5.13
2024-06-13,5.37,5.39,5.39,5.39,5.35,5.07
2024-06-14,5.35,5.38,5.39,5.39,5.35,5.06
2024-06-17,5.34,5.39,5.39,5.4,5.37,5.11
2024-06-18,5.29,5.37,5.38,5.38,5.36,5.09
2024-06-20,5.31,5.38,5.38,5.39,5.36,5.11
2024-06-21,5.31,5.38,5.37,5.39,5.35,5.11
2024-06-24,5.31,5.37,5.38,5.39,5.35,5.11
2024-06-25,5.32,5.37,5.37,5.38,5.35,5.11
2024-06-26,5.33,5.37,5.38,5.39,5.35,5.14
2024-06-27,5.37,5.38,5.37,5.39,5.33,5.12
2024-06-28,5.37,5.39,5.36,5.39,5.32,5.11
2024-07-01,5.38,5.39,5.38,5.39,5.33,5.12
2024-07-02,5.37,5.39,5.38,5.37,5.32,5.1
2024-07-03,5.38,5.39,5.38,5.36,5.32,5.06
2024-07-05,5.38,5.39,5.37,5.36,5.29,5.01
2024-07-08,5.37,5.39,5.37,5.36,5.29,5.02
2024-07-09,5.33,5.37,5.37,5.36,5.3,5.02
2024-07-10,5.33,5.35,5.37,5.36,5.3,5.01
2024-07-11,5.38,5.39,5.35,5.32,5.21,4.91
2024-07-12,5.37,5.38,5.35,5.31,5.2,4.87
2024-07-15,5.38,5.38,5.34,5.31,5.19,4.85
2024-07-16,5.36,5.38,5.34,5.31,5.19,4.85
2024-07-17,5.34,5.38,5.34,5.3,5.19,4.85
2024-07-18,5.37,5.38,5.35,5.3,5.2,4.87
2024-07-19,5.38,5.38,5.34,5.3,5.2,4.88
2024-07-22,5.38,5.39,5.33,5.3,5.2,4.89
2024-07-23,5.37,5.39,5.32,5.29,5.18,4.88
2024-07-24,5.38,5.39,5.32,5.28,5.16,4.85
2024-07-25,5.39,5.38,5.31,5.27,5.15,4.85
2024-07-26,5.38,5.38,5.3,5.27,5.14,4.81
2024-07-29,5.39,5.39,5.29,5.27,5.14,4.81
2024-07-30,5.38,5.38,5.28,5.27,5.12,4.8
2024-07-31,5.37,5.38,5.29,5.25,5.1,4.77
2024-08-01,5.38,5.35,5.26,5.21,5.04,4.65
2024-08-02,5.37,5.32,5.18,5.07,4.86,4.37
2024-08-05,5.35,5.33,5.23,5.09,4.87,4.39
2024-08-06,5.33,5.32,5.23,5.13,4.96,4.45
2024-08-07,5.34,5.32,5.23,5.13,4.96,4.44
2024-08-08,5.39,5.3,5.23,5.14,4.98,4.49
2024-08-09,5.38,5.29,5.22,5.15,4.98,4.49
2024-08-12,5.37,5.29,5.21,5.14,4.98,4.47
2024-08-13,5.32,5.28,5.2,5.13,4.93,4.41
2024-08-14,5.33,5.28,5.21,5.13,4.96,4.43
2024-08-15,5.35,5.29,5.23,5.15,5.01,4.54
2024-08-16,5.37,5.28,5.21,5.14,4.98,4.5
2024-08-19,5.35,5.28,5.2,5.14,4.96,4.5
2024-08-20,5.32,5.26,5.18,5.12,4.92,4.45
2024-08-21,5.3,5.23,5.16,5.06,4.88,4.38
2024-08-22,5.33,5.24,5.18,5.08,4.92,4.46
2024-08-23,5.34,5.24,5.14,5.07,4.89,4.38
2024-08-26,5.33,5.25,5.11,5.08,4.87,4.41
2024-08-27,5.33,5.24,5.11,5.07,4.85,4.38
2024-08-28,5.32,5.24,5.09,5.03,4.84,4.4
2024-08-29,5.27,5.21,5.11,5.03,4.86,4.42
2024-08-30,5.27,5.22,5.11,5.03,4.87,4.42
2024-09-03,5.25,5.21,5.1,5.03,4.83,4.34
2024-09-04,5.2,5.19,5.09,4.96,4.77,4.23
2024-09-05,5.17,5.15,5.07,4.95,4.76,4.2
2024-09-06,5.15,5.15,5.06,4.93,4.73,4.11
2024-09-09,5.12,5.13,5.02,4.92,4.7,4.13
2024-09-10,5.06,5.06,4.98,4.85,4.68,4.07
2024-09-11,5.09,5.07,5.02,4.9,4.75,4.13
2024-09-12,5.06,5.09,4.98,4.88,4.71,4.1
2024-09-13,5.03,5.05,4.9,4.83,4.65,4.02
2024-09-16,4.99,4.99,4.87,4.81,4.57,3.97
2024-09-17,4.93,4.93,4.87,4.8,4.57,4.01
2024-09-18,4.79,4.8,4.77,4.67,4.53,3.97
2024-09-19,4.77,4.79,4.73,4.65,4.5,3.95
2024-09-20,4.76,4.77,4.67,4.62,4.47,3.94
2024-09-23,4.74,4.75,4.65,4.59,4.41,3.94
2024-09-24,4.67,4.69,4.61,4.57,4.38,3.91
2024-09-25,4.68,4.69,4.63,4.56,4.39,3.92
2024-09-26,4.78,4.76,4.61,4.57,4.41,3.98
2024-09-27,4.79,4.75,4.61,4.56,4.39,3.94
2024-09-30,4.82,4.78,4.64,4.59,4.38,4.01
2024-10-01,4.84,4.79,4.61,4.57,4.37,3.96
2024-10-02,4.81,4.76,4.59,4.54,4.37,3.97
2024-10-03,4.84,4.76,4.59,4.54,4.38,4.01
2024-10-04,4.86,4.79,4.64,4.61,4.47,4.19
2024-10-07,4.86,4.79,4.67,4.61,4.46,4.25
2024-10-08,4.83,4.77,4.65,4.59,4.45,4.21
2024-10-09,4.8,4.77,4.66,4.57,4.47,4.25
2024-10-10,4.84,4.75,4.66,4.57,4.47,4.22
2024-10-11,4.83,4.74,4.64,4.58,4.45,4.19
2024-10-15,4.8,4.74,4.64,4.59,4.44,4.19
2024-10-16,4.79,4.73,4.63,4.56,4.44,4.19
2024-10-17,4.79,4.74,4.66,4.57,4.46,4.22
2024-10-18,4.78,4.73,4.64,4.57,4.47,4.2
2024-10-21,4.78,4.74,4.63,4.6,4.48,4.25
2024-10-22,4.76,4.73,4.63,4.6,4.48,4.25
2024-10-23,4.75,4.73,4.64,4.58,4.5,4.28
2024-10-24,4.74,4.7,4.61,4.58,4.5,4.27
2024-10-25,4.75,4.7,4.63,4.6,4.53,4.3
2024-10-28,4.74,4.7,4.6,4.6,4.49,4.3
2024-10-29,4.75,4.7,4.6,4.59,4.49,4.29
2024-10-30,4.75,4.7,4.58,4.56,4.48,4.28
2024-10-31,4.66,4.65,4.55,4.55,4.47,4.27
2024-11-01,4.65,4.64,4.52,4.53,4.45,4.28
2024-11-04,4.64,4.64,4.55,4.52,4.42,4.25
